route,weight_cur,weight_prev,weight_xl,weight_lp,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p25_wprev0p15_wxl0p55_wlp0p05_raw,0.25,0.15,0.55,0.05,,0.0,0.0,1.0,hard,37.53345063847814,0.9986950755119324,0.9882323741912842,0.02692464366555214,45.4482365526012,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p15_wxl0p55_wlp0p05_raw.csv
wcur0p3_wprev0p1_wxl0p55_wlp0p05_raw,0.3,0.1,0.55,0.05,,0.0,0.0,1.0,hard,37.532301951715375,0.9986947327852249,0.9882311075925827,0.026932044653221965,45.447068474305446,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p1_wxl0p55_wlp0p05_raw.csv
wcur0p25_wprev0p15_wxl0p525_wlp0p075_raw,0.25,0.15,0.525,0.075,,0.0,0.0,1.0,hard,37.53207338790767,0.9986956268548965,0.9882233738899231,0.026945228222757578,45.44680344037138,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p15_wxl0p525_wlp0p075_raw.csv
wcur0p3_wprev0p1_wxl0p525_wlp0p075_raw,0.3,0.1,0.525,0.075,,0.0,0.0,1.0,hard,37.530921607890285,0.9986954033374786,0.9882220178842545,0.02695255447179079,45.445632954740084,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p1_wxl0p525_wlp0p075_raw.csv
wcur0p25_wprev0p15_wxl0p5_wlp0p1_raw,0.25,0.15,0.5,0.1,,0.0,0.0,1.0,hard,37.53045807235188,0.9986961334943771,0.9882136881351471,0.026964908000081778,45.44513243358827,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p15_wxl0p5_wlp0p1_raw.csv
wcur0p3_wprev0p1_wxl0p5_wlp0p1_raw,0.3,0.1,0.5,0.1,,0.0,0.0,1.0,hard,37.52930249103226,0.9986954182386398,0.9882124811410904,0.02697241399437189,45.44395513475754,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p1_wxl0p5_wlp0p1_raw.csv
wcur0p25_wprev0p15_wxl0p45_wlp0p15_raw,0.25,0.15,0.45,0.15,,0.0,0.0,1.0,hard,37.526513756272834,0.9986964464187622,0.9881927520036697,0.026998599991202354,45.44108073881034,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p15_wxl0p45_wlp0p15_raw.csv
wcur0p3_wprev0p1_wxl0p45_wlp0p15_raw,0.3,0.1,0.45,0.15,,0.0,0.0,1.0,hard,37.52535193823664,0.9986964017152786,0.9881914556026459,0.027005488518625498,45.43990228269635,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p1_wxl0p45_wlp0p15_raw.csv
wcur0p25_wprev0p15_wxl0p4_wlp0p2_raw,0.25,0.15,0.4,0.2,,0.0,0.0,1.0,hard,37.52161828294969,0.998696967959404,0.9881696552038193,0.027027667965739965,45.43608406518227,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p15_wxl0p4_wlp0p2_raw.csv
wcur0p3_wprev0p1_wxl0p4_wlp0p2_raw,0.3,0.1,0.4,0.2,,0.0,0.0,1.0,hard,37.52045070261077,0.9986964166164398,0.9881684184074402,0.02703173109330237,45.43490257693769,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p1_wxl0p4_wlp0p2_raw.csv
wcur0p25_wprev0p1_wxl0p6_wlp0p05_raw,0.25,0.1,0.6,0.05,,0.0,0.0,1.0,hard,37.50475383358398,0.9986895620822906,0.9881631135940552,0.02700347639620304,45.41921048047343,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p1_wxl0p6_wlp0p05_raw.csv
wcur0p25_wprev0p1_wxl0p575_wlp0p075_raw,0.25,0.1,0.575,0.075,,0.0,0.0,1.0,hard,37.503590890600506,0.9986902475357056,0.9881544560194016,0.02702549984678626,45.41799028815997,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p1_wxl0p575_wlp0p075_raw.csv
wcur0p25_wprev0p1_wxl0p55_wlp0p1_raw,0.25,0.1,0.55,0.1,,0.0,0.0,1.0,hard,37.502190694910745,0.9986907541751862,0.9881452471017838,0.027046008966863155,45.4165336962317,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p1_wxl0p55_wlp0p1_raw.csv
wcur0p25_wprev0p1_wxl0p5_wlp0p15_raw,0.25,0.1,0.5,0.15,,0.0,0.0,1.0,hard,37.498682240315475,0.9986916035413742,0.9881250262260437,0.0270832187961787,45.41291547642345,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p1_wxl0p5_wlp0p15_raw.csv
wcur0p25_wprev0p1_wxl0p45_wlp0p2_raw,0.25,0.1,0.45,0.2,,0.0,0.0,1.0,hard,37.49422907603444,0.998692199587822,0.9881026148796082,0.027113897260278463,45.408359708800035,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p1_wxl0p45_wlp0p2_raw.csv
