route,weight_cur,weight_prev,weight_ssttta,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p25_wprev0p3_wssttta0p45_raw,0.25,0.3,0.45,,0.0,0.0,1.0,hard,33.98917344628416,0.998008074859778,0.9775445093711217,0.045760596988839095,41.8407897202074,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p25_wprev0p3_wssttta0p45_raw.csv
wcur0p25_wprev0p225_wssttta0p525_raw,0.25,0.225,0.525,,0.0,0.0,1.0,hard,33.98845717960342,0.9980086003740628,0.9775621439019839,0.045778008092505235,41.84007705346676,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p25_wprev0p225_wssttta0p525_raw.csv
wcur0p275_wprev0p2_wssttta0p525_raw,0.275,0.2,0.525,,0.0,0.0,1.0,hard,33.988440847208985,0.9980085964004198,0.9775624290108681,0.04577834762361211,41.84006058838601,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p275_wprev0p2_wssttta0p525_raw.csv
wcur0p325_wprev0p25_wssttta0p425_raw,0.325,0.25,0.425,,0.0,0.0,1.0,hard,33.98814331303032,0.9980076218644778,0.9775335182746251,0.04575151767979454,41.83975304540685,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p325_wprev0p25_wssttta0p425_raw.csv
wcur0p3_wprev0p275_wssttta0p425_raw,0.3,0.275,0.425,,0.0,0.0,1.0,hard,33.988134664950806,0.9980075707038244,0.9775331238905589,0.045752330335380974,41.839741676284106,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p3_wprev0p275_wssttta0p425_raw.csv
wcur0p35_wprev0p225_wssttta0p425_raw,0.35,0.225,0.425,,0.0,0.0,1.0,hard,33.98812461462835,0.9980075220266978,0.9775338649749756,0.04575152354664169,41.839734429645205,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p35_wprev0p225_wssttta0p425_raw.csv
wcur0p275_wprev0p3_wssttta0p425_raw,0.275,0.3,0.425,,0.0,0.0,1.0,hard,33.988098696920446,0.9980075200398763,0.9775327002008756,0.04575279564014636,41.83970362628116,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p275_wprev0p3_wssttta0p425_raw.csv
wcur0p375_wprev0p2_wssttta0p425_raw,0.375,0.2,0.425,,0.0,0.0,1.0,hard,33.98807847360143,0.9980074435472488,0.9775341585278511,0.045750608333037235,41.83969023527456,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p375_wprev0p2_wssttta0p425_raw.csv
wcur0p25_wprev0p325_wssttta0p425_raw,0.25,0.325,0.425,,0.0,0.0,1.0,hard,33.988035399882015,0.9980074023207028,0.9775322134296099,0.04575265267728052,41.83963893531089,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p25_wprev0p325_wssttta0p425_raw.csv
wcur0p25_wprev0p2_wssttta0p55_raw,0.25,0.2,0.55,,0.0,0.0,1.0,hard,33.98683773560517,0.9980082799990971,0.9775615811347962,0.045781851910578555,41.83844687404819,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p25_wprev0p2_wssttta0p55_raw.csv
wcur0p35_wprev0p25_wssttta0p4_raw,0.35,0.25,0.4,,0.0,0.0,1.0,hard,33.986380220464355,0.9980067903796832,0.9775185599923134,0.04574229180628511,41.83797349911451,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p35_wprev0p25_wssttta0p4_raw.csv
wcur0p325_wprev0p275_wssttta0p4_raw,0.325,0.275,0.4,,0.0,0.0,1.0,hard,33.98637907288918,0.9980067471663158,0.9775181750456492,0.045742708320419,41.837970489337536,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p325_wprev0p275_wssttta0p4_raw.csv
